                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1235,                 1.3592,                 1.2911,                0.63913,                0.52422,                0.56662,                0.41369,                 1.0176,                 1.0797,                 1.2008,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.1219,                 1.3557,                   1.29,                0.63649,                0.52983,                 0.5678,                0.41417,                 1.0164,                 1.0773,                 1.1991,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.1212,                 1.3507,                 1.2861,                0.64024,                0.53083,                0.56932,                0.41517,                 1.0161,                 1.0746,                 1.1981,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.1196,                 1.3536,                 1.2888,                0.64598,                0.52709,                0.56953,                0.41546,                 1.0154,                 1.0724,                 1.1963,               0.009505,               0.009505,               0.009505
                     52,                 1.1218,                 1.3551,                 1.2868,                0.65181,                0.52576,                0.57098,                0.41629,                 1.0149,                 1.0714,                 1.1951,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.1215,                 1.3425,                  1.285,                0.65605,                0.52182,                0.57143,                0.41749,                 1.0143,                 1.0697,                  1.194,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.1187,                 1.3407,                 1.2815,                0.66559,                0.51683,                0.57253,                0.41842,                 1.0135,                 1.0682,                 1.1924,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.1156,                 1.3461,                 1.2812,                0.67456,                0.51397,                0.57322,                0.41902,                 1.0121,                 1.0671,                 1.1907,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.1169,                 1.3378,                 1.2808,                0.66982,                0.51929,                0.57435,                 0.4199,                 1.0112,                 1.0657,                 1.1893,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.1149,                 1.3382,                  1.281,                0.67267,                0.51875,                 0.5754,                0.42044,                 1.0104,                 1.0635,                 1.1878,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.1162,                 1.3357,                 1.2797,                0.67682,                0.51727,                0.57553,                0.42086,                 1.0096,                 1.0615,                 1.1866,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.1122,                 1.3376,                 1.2785,                0.65946,                0.52547,                0.57642,                0.42164,                 1.0088,                 1.0594,                 1.1855,              0.0094258,              0.0094258,              0.0094258
                     60,                  1.117,                 1.3328,                 1.2777,                0.66632,                0.52527,                0.57702,                 0.4222,                 1.0083,                 1.0574,                 1.1842,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.1147,                 1.3318,                 1.2755,                0.66821,                0.52712,                0.57812,                0.42301,                 1.0071,                 1.0556,                 1.1825,               0.009406,               0.009406,               0.009406
                     62,                 1.1122,                 1.3315,                  1.273,                0.66514,                 0.5292,                0.57938,                0.42359,                 1.0065,                 1.0546,                  1.181,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.1133,                 1.3256,                 1.2738,                0.65937,                0.53149,                0.57984,                0.42446,                 1.0049,                 1.0527,                 1.1798,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.1102,                  1.328,                 1.2731,                0.65974,                 0.5345,                0.58083,                 0.4253,                 1.0042,                 1.0505,                 1.1784,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.1122,                 1.3288,                 1.2715,                0.65807,                0.53677,                0.58179,                0.42655,                  1.004,                 1.0491,                 1.1773,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.1116,                 1.3238,                 1.2717,                0.66147,                0.53398,                 0.5823,                0.42647,                 1.0029,                  1.047,                 1.1761,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.1098,                  1.321,                 1.2673,                0.66108,                0.53241,                0.58273,                0.42658,                 1.0028,                 1.0463,                 1.1751,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.1099,                 1.3241,                 1.2716,                  0.659,                0.53723,                0.58377,                0.42729,                 1.0025,                 1.0448,                 1.1742,              0.0093367,              0.0093367,              0.0093367
