                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.54857,                0.35572,                0.97555,                0.93417,                0.91454,                0.98072,                 0.7897,                0.81253,                 0.4832,                 1.2912,             0.00072604,             0.00072604,             0.00072604
                     65,                0.57941,                0.37104,                 1.0018,                0.96318,                0.97787,                  0.995,                0.79542,                0.80581,                0.40638,                 1.2917,             0.00071993,             0.00071993,             0.00071993
                     66,                0.54732,                0.36037,                 1.0014,                0.97539,                0.95288,                 0.9935,                0.79829,                0.80945,                0.42719,                  1.299,             0.00071382,             0.00071382,             0.00071382
                     67,                0.50733,                0.34248,                0.97051,                0.95922,                0.93233,                0.98795,                0.79996,                0.77697,                0.45052,                 1.2706,             0.00070771,             0.00070771,             0.00070771
                     68,                0.51247,                0.35397,                0.98622,                 0.9098,                      1,                0.98873,                0.79318,                  0.805,                0.41982,                 1.2892,              0.0007016,              0.0007016,              0.0007016
                     69,                0.56889,                0.36423,                 1.0374,                0.95814,                0.94844,                0.98833,                0.79094,                0.76169,                0.41118,                 1.2436,             0.00069549,             0.00069549,             0.00069549
                     70,                0.55189,                0.34359,                0.98657,                0.97694,                0.97062,                  0.995,                0.80979,                0.77328,                0.39905,                 1.2413,             0.00068938,             0.00068938,             0.00068938
                     71,                0.57247,                0.38004,                0.99258,                0.96493,                0.94798,                0.99143,                 0.7783,                0.81769,                0.43691,                 1.2771,             0.00068327,             0.00068327,             0.00068327
                     72,                0.54532,                0.37244,                0.99271,                 0.9707,                0.95971,                0.99407,                0.79223,                 0.7871,                0.38732,                 1.2694,             0.00067715,             0.00067715,             0.00067715
                     73,                0.54304,                0.34338,                0.97519,                0.96717,                0.89243,                 0.9841,                0.78551,                0.78762,                0.43746,                 1.2495,             0.00067104,             0.00067104,             0.00067104
                     74,                 0.5068,                0.32433,                0.94431,                 0.9644,                0.96996,                0.98508,                0.78742,                0.77801,                0.42852,                  1.219,             0.00066493,             0.00066493,             0.00066493
