                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0955,                0.77153,                  1.554,                0.83805,                 0.9453,                0.93436,                0.64406,                  1.133,                0.75602,                 1.7365,             0.00089141,             0.00089141,             0.00089141
                     78,                 1.0907,                0.76636,                 1.5501,                 0.8559,                0.91987,                0.92859,                0.64325,                 1.0519,                0.73276,                 1.6465,             0.00088434,             0.00088434,             0.00088434
                     79,                 1.0546,                0.76274,                 1.4926,                0.84049,                 0.9323,                0.93177,                0.66016,                 1.0566,                0.71981,                  1.646,             0.00087726,             0.00087726,             0.00087726
                     80,                 1.0541,                0.75656,                 1.5094,                0.84455,                0.92703,                0.93058,                0.64354,                  1.061,                0.72428,                 1.6708,             0.00087019,             0.00087019,             0.00087019
                     81,                  1.057,                0.77115,                 1.5254,                0.85606,                0.92027,                0.92717,                0.65163,                 1.0494,                0.72621,                 1.6602,             0.00086312,             0.00086312,             0.00086312
                     82,                 1.0507,                0.74596,                 1.5252,                0.84794,                0.93785,                0.93152,                0.64022,                 1.0725,                0.70137,                 1.6756,             0.00085604,             0.00085604,             0.00085604
                     83,                 1.0684,                0.74928,                 1.5405,                0.85295,                0.93238,                0.92983,                0.65227,                  1.041,                0.70763,                 1.6338,             0.00084897,             0.00084897,             0.00084897
                     84,                 1.0493,                0.75204,                 1.5368,                0.84326,                0.93229,                 0.9325,                0.65932,                 1.0681,                  0.709,                 1.6751,              0.0008419,              0.0008419,              0.0008419
                     85,                 1.0622,                0.74489,                 1.5494,                0.84145,                0.94519,                0.92685,                0.65498,                 1.0333,                0.68747,                 1.6287,             0.00083482,             0.00083482,             0.00083482
                     86,                 1.0606,                0.74561,                 1.5267,                0.84589,                0.93081,                0.92085,                0.63215,                 1.0368,                0.69645,                 1.6446,             0.00082775,             0.00082775,             0.00082775
                     87,                 1.0842,                0.74076,                 1.5359,                0.86606,                0.92039,                0.93222,                 0.6456,                 1.1071,                0.72346,                 1.7103,             0.00082067,             0.00082067,             0.00082067
                     88,                 1.0687,                0.75603,                 1.5248,                0.86021,                0.91936,                0.93279,                0.65913,                 1.0507,                0.69061,                 1.6408,              0.0008136,              0.0008136,              0.0008136
                     89,                 1.0408,                0.73037,                 1.4761,                0.84718,                0.94533,                0.93565,                0.65054,                 1.0516,                0.72856,                  1.655,             0.00080653,             0.00080653,             0.00080653
                     90,                 1.0486,                0.74718,                 1.5129,                0.83541,                0.93642,                0.93598,                0.66301,                 1.0508,                0.70667,                  1.652,             0.00079945,             0.00079945,             0.00079945
                     91,                 1.0443,                0.75148,                 1.5145,                 0.8556,                0.92593,                0.93504,                0.64584,                 1.0742,                0.71431,                 1.6826,             0.00079238,             0.00079238,             0.00079238
                     92,                 1.0484,                 0.7408,                 1.5175,                0.83768,                0.93353,                 0.9337,                0.65798,                 1.0554,                0.72661,                 1.6482,             0.00078531,             0.00078531,             0.00078531
                     93,                 1.0204,                0.74016,                 1.5131,                0.85243,                0.93126,                0.93669,                0.65214,                 1.0318,                0.66695,                 1.6307,             0.00077823,             0.00077823,             0.00077823
                     94,                 1.0538,                 0.7497,                 1.5193,                0.84079,                0.93271,                0.93012,                0.64415,                 1.0353,                0.70913,                 1.6321,             0.00077116,             0.00077116,             0.00077116
                     95,                 1.0349,                0.73521,                 1.4997,                0.83504,                 0.9247,                0.93611,                 0.6482,                 1.0534,                0.71049,                 1.6494,             0.00076409,             0.00076409,             0.00076409
                     96,                 1.0196,                0.75907,                 1.5121,                0.85563,                0.93064,                0.93425,                0.65807,                 1.0494,                0.70323,                 1.6455,             0.00075701,             0.00075701,             0.00075701
                     97,                 1.0359,                0.71568,                 1.4776,                0.85711,                0.93954,                0.93412,                0.66476,                 1.0134,                0.66149,                 1.6181,             0.00074994,             0.00074994,             0.00074994
                     98,                 1.0291,                0.72668,                 1.4853,                0.84849,                0.92846,                   0.94,                0.64892,                 1.0575,                0.69096,                 1.6719,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.0229,                0.72312,                 1.4859,                0.85836,                0.92423,                0.93515,                0.66337,                 1.0513,                0.69651,                  1.651,             0.00073579,             0.00073579,             0.00073579
                    100,                 1.0076,                0.70121,                 1.4714,                0.85802,                 0.9389,                0.93561,                0.66218,                 1.0612,                0.68483,                   1.67,             0.00072872,             0.00072872,             0.00072872
                    101,                 1.0068,                0.70734,                 1.4524,                0.85815,                0.92538,                0.93857,                0.66698,                  1.031,                0.68382,                 1.6361,             0.00072164,             0.00072164,             0.00072164
                    102,                 1.0308,                0.71236,                 1.5288,                0.88674,                0.90234,                0.93974,                0.65678,                 1.0423,                0.67383,                 1.6382,             0.00071457,             0.00071457,             0.00071457
                    103,                 1.0193,                0.71355,                  1.483,                0.85278,                0.91689,                0.93649,                0.65139,                 1.0557,                0.69026,                 1.6528,              0.0007075,              0.0007075,              0.0007075
                    104,                 1.0191,                0.71458,                 1.4833,                0.88722,                 0.8985,                 0.9357,                0.65873,                 1.0446,                0.70028,                 1.6548,             0.00070042,             0.00070042,             0.00070042
